SPY,XLK,XLV,XLE,sharpe,return_pct,max_dd_pct
0.0,0.15,0.35,0.5,1.8478441891300998,2009.7561401767382,-13.57489822820266
0.0,0.15,0.4,0.45,1.9033540308229215,1975.2708417205072,-12.839006490681836
0.0,0.15,0.45,0.4,1.9519196147681295,1938.96167734536,-12.099319960880573
0.0,0.15,0.5,0.35,1.9907647660615322,1900.9439801179162,-11.355844901474155
0.0,0.15,0.55,0.3,2.0171588844525057,1861.3369285945123,-10.608587887744324
0.0,0.15,0.6,0.25,2.028785402027099,1820.262930648348,-9.857555809289442
0.0,0.15,0.65,0.2,2.024130744889855,1777.8470003723157,-9.34175103177508
0.0,0.15,0.7,0.15,2.0027843714780884,1734.2161324420865,-9.631543514430552
0.0,0.15,0.75,0.1,1.9655470537594697,1689.4986782593871,-9.923158610169269
0.0,0.15,0.8,0.05,1.9143039771441064,1643.8237280912776,-10.216571755358196
0.0,0.15,0.85,0.0,1.8517042828849588,1597.3205032827127,-10.511758341920308
0.0,0.2,0.0,0.8,1.5204218737851631,2429.86199308321,-17.900447567927902
0.0,0.2,0.05,0.75,1.580305157134396,2406.6289964891102,-17.05395963810843
0.0,0.2,0.1,0.7,1.642688682822483,2380.7084408405185,-16.201528011433687
0.0,0.2,0.15,0.65,1.7070093284417462,2352.187832188298,-15.343143679909454
0.0,0.2,0.2,0.6,1.7723999367649301,2321.162733840969,-14.478798022713057
0.0,0.2,0.25,0.55,1.8376153518774065,2287.736236415506,-13.608482810378963
0.0,0.2,0.3,0.5,1.9009697620337567,2252.0183910179444,-12.856957300446092
0.0,0.2,0.35,0.45,1.960308851166055,2214.125609886846,-12.114790717169798
0.0,0.2,0.4,0.4,2.0130490043869123,2174.180039035117,-11.368795385764018
0.0,0.2,0.45,0.35,2.056317817728666,2132.3089075871585,-10.618977605722812
0.0,0.2,0.5,0.3,2.087216766968636,2088.643858621894,-9.865343991817255
0.0,0.2,0.55,0.25,2.1031918363919884,2043.3202664037601,-9.41223067720236
0.0,0.2,0.6,0.2,2.1024464855632385,1996.47654490594,-9.627723993023285
0.0,0.2,0.65,0.15,2.084286811141962,1948.253452512083,-9.91665549959675
0.0,0.2,0.7,0.1,2.049284095211271,1898.793397716755,-10.207404989820134
0.0,0.2,0.75,0.05,1.999192175981684,1848.2397505390256,-10.499947955526768
0.0,0.2,0.8,0.0,1.9366453393725067,1796.7361642169071,-10.794259844252208
0.0,0.25,0.0,0.75,1.6150298881540268,2689.008782883917,-16.34448407026845
0.0,0.25,0.05,0.7,1.6789590602793254,2660.829360637135,-15.484474682561643
0.0,0.25,0.1,0.65,1.745021622139653,2629.741525700828,-14.618456615624353
0.0,0.25,0.15,0.6,1.8123936450888904,2595.8496244724506,-13.746421133235087
0.0,0.25,0.2,0.55,1.8798783602654003,2559.2664892811194,-12.880595483395785
